sample_id,Population,EstTotalCount
918282,SOX10+,605028
918282,SOX2+,250345
917422,PU1+,172468
917422,NeuN+,4851478
917422,SOX10+,804707
917422,SOX2+,229649
918318,PU1+,171820
918318,NeuN+,4554922
918318,SOX10+,453511
918318,SOX2+,152305
917440,PU1+,211766
917440,NeuN+,5347233
917440,SOX10+,758600
917440,SOX2+,261952
916468,PU1+,306715
916468,NeuN+,5392978
916468,SOX10+,849748
916468,SOX2+,171849
917445,PU1+,253611
917445,NeuN+,6112909
917445,SOX10+,1250343
917445,SOX2+,358748
918278,PU1+,300484
918278,NeuN+,5392996
918278,SOX10+,1154194
918278,SOX2+,174691
